net,length_um
_04795_,188.44
_05032_,188.36
_02851_,188.225
net105,188.08
_04064_,187.98
net367,187.72
_04662_,187.12
net98,187.12
_03144_,186.68
net528,186.64
_04517_,186.6
net439,186.54
_03666_,186.38
_03975_,185.32
_05402_,185.12
_03181_,184.89
_04923_,184.75
axi_slave_fsm_block.sw_wfifo_wdata\[43\],184.33
_03160_,184.31
_03753_,184.22
_03047_,183.5
axi_slave_fsm_block.sw_wfifo_wdata\[15\],183.23
_03469_,183.02
_05034_,182.77
_04533_,182.54
net26,182.02
_03162_,181.91
axi_slave_fsm_block.sw_wfifo_wdata\[18\],181.9
_04530_,181.85
_05028_,181.78
net210,181.04
_05401_,181.02
_03579_,180.99
axi_slave_fsm_block.axi_araddr_reg\[25\],180.8
net134,180.65
net502,180.36
_03856_,180.34
_03831_,179.86
net563,179.28
_03670_,178.92
net522,178.4
net332,178.02
net422,177.98
_03830_,177.62
net498,177.36
_03141_,177.2
_03105_,177.1
_02820_,176.92
net385,176.38
_03514_,175.86
net436,175.8
net307,175.36
async_fifo_Writing.wfull,175.35
_05357_,175.105
_04526_,174.97
net159,174.86
net189,174.78
_04529_,174.68
_00015_,174.34
axi_slave_fsm_block.axi_wdata_reg\[26\],173.86
_03099_,173.68
_05366_,173.48
_05141_,173.05
_03171_,172.78
_04122_,172.58
_03125_,172.49
net24,172.16
_05407_,172.1
_05373_,172.08
_04209_,171.37
_03795_,171.22
net489,171.18
_04797_,170.93
net499,170.6
_04183_,170.455
axi_slave_fsm_block.axi_araddr_reg\[21\],170.1
_03669_,170.07
net84,169.82
_02666_,169.8
_02711_,169.56
_02622_,169.51
_03150_,169.42
_02478_,168.9
net357,168.7
_04804_,168.41
apb_master_fsm_block.m_apb_read_response\[25\],168.28
_04358_,168.2
_04796_,168.08
_03402_,167.82
net330,167.82
_05026_,167.775
_04028_,167.72
_03190_,167.68
net38,167.46
_03740_,167.27
net282,167.22
_04405_,166.98
net510,166.88
_03834_,166.78
_04256_,166.66
_03580_,166.58
_03186_,166.54
_03650_,166.54
_02624_,166.3
_03582_,166.25
_04158_,166.18
net59,166.06
_05397_,165.88
net309,165.88
_03928_,165.685
_03071_,165.63
_04900_,165.56
_03627_,165.55
_04523_,165.43
_04805_,165.32
axi_slave_fsm_block.axi_wstrb_reg\[2\],165.27
_05027_,164.9
_03559_,164.86
axi_slave_fsm_block.axi_wdata_reg\[2\],164.57
_02239_,164.46
_02929_,164.16
net472,164.1
axi_slave_fsm_block.sw_wfifo_wdata\[4\],163.86
_02639_,163.8
net293,163.78
_04672_,163.74
net199,163.74
net491,163.71
_05139_,163.31
_02749_,163.04
axi_slave_fsm_block.axi_awaddr_reg\[23\],162.97
_04794_,162.7
net218,162.52
net2040,162.4
net423,162.18
_04491_,162.14
_05015_,162.1
_03768_,161.94
_04194_,161.83
_03626_,161.8
_03095_,161.73
_02630_,161.48
net603,161.38
net66,161.28
net430,161.17
net113,160.7
_03764_,160.16
_04899_,160.13
net352,160.12
_04663_,159.745
apb_master_fsm_block.m_apb_read_response\[22\],159.3
axi_slave_fsm_block.sw_wfifo_wdata\[1\],159.12
net213,158.96
_03760_,158.75
_03766_,158.68
axi_slave_fsm_block.sw_wfifo_wdata\[25\],158.45
_02628_,157.89
_03829_,157.83
_05363_,157.7
_04915_,157.5
net85,157.46
_04172_,157.32
apb_master_fsm_block.rfifo_data_latch\[38\],157.28
_02641_,157.22
_04916_,157.09
_02181_,157.025
_04231_,156.92
_02632_,156.8
_04562_,156.66
axi_slave_fsm_block.sw_wfifo_wdata\[26\],156.54
apb_master_fsm_block.rfifo_data_latch\[21\],156.29
_04136_,156.24
net151,156.04
_03758_,156.02
net158,155.78
axi_slave_fsm_block.axi_awaddr_reg\[24\],155.68
axi_slave_fsm_block.axi_araddr_reg\[26\],155.62
_04039_,155.52
